Sanskrit,English
aktu,tinge
aktu, ray
aktu, light
aktu, darkness
atya, steed
andhas, juice
andhas, food
abhiṣṭi,assistance
abhiṣṭi, protection
abhiṣṭi, help
abhīka, collision
arati, assistant
arati, manager
arati, administrator
aruṣa,red
aruṣa, reddish
arṇas, flood
arṇas, stream
arṇas, river
arṇas, water
avas, furtherance
avas, protection
avas, assistance
avas, refreshing
avas, enjoyment
avas, pleasure
avas, wish
avitṛ, protector
asurya, lordliness
āyu,life
indu, night
indu, camphor
uśij,wishing
uśij, desiring
uśij, zealous
uśij, desirable
uśij, amiable
uśij, lovely
uśij, charming
ūti,help
ūti, protection
ūti, promoting
ūti, kindness
ūti, refreshment
ūti, goods
ūti, riches
ūti, enjoyment
ūti, play
ūti, dalliance
ūti, way
ṛṣva,elevated
ṛṣva, high
ṛṣva, sublime
ṛṣva, great
ṛṣva, exalted
ākāyya,desirable
kutsa, lightning
kutsa, thunderbolt
kṣiti, dwelling
kṣiti, habitation
kṣiti, house
kṣiti, settlements
kṣiti, colonies
kṣiti, estates
gabhasti,arm
gabhasti, hand
gabhasti, sunbeam
girvaṇas, singer
saṃgir,assent
saṃgir, promise
carṣaṇi,men
carṣaṇi, people
carṣaṇi, race
tanaya,posterity
tanaya, family
tanaya, race
tanaya, offspring
tanaya, child
taviṣī,power
taviṣī, strength
taviṣī, violence
taviṣī, courage
tuñja,shock
tuñja, assault
tūtuji,eager
tura,quick
tura, willing
tura, prompt
tura, strong
tura, powerful
tura, excelling
tura, rich
tura, abundant
tura, surpassing
tuviṣṭama,strongest
tuviṣmat,powerful
dasma, wonderful
dasma, extraordinary
dasmya,wonderful
dasra, wondrous
dāśu, sacrificing
dāśuri, devout
dāśuri, pious
duroṇa,residence
duroṇa, dwelling
duroṇa, home
duroṇa, house
duvas,gift
duvas, oblation
duvas, worship
duvas, reverence
duvasyu, reverential
duṣṭara, unconquerable
duṣṭara, irresistible
duṣṭara, incomparable
duṣṭara, excellent
devatāti, divinity
dyumnavat, strong
dyumnavat, powerful
dyumna, glory
dyumna, majesty
dyumna, power
dyumna, strength
dyumna, enthusiasm
dyumna, inspiration
dyumna, wealth
dyumna, possession
dyumna, food
dyumnin,majestic
dyumnin, strong
dyumnin, powerful
dyumnin, inspired
dyumnin, fierce
abhidruh, inimical
druh,injuring
druh, hurtful
dhīti,thought
dhīti, idea
dhīti, reflection
dhīti, intention
dhīti, devotion
dhīti, wisdom
dhīti, understanding
dhuni,roaring
dhuni, sounding
dhunimat,roaring
dhunimat, noisy
narya,manly
narya, human
narya, strong
narya, powerful
narya, heroic
navya, laudable
navya, new
navya, fresh
pāyu, protector
puraṃdhi, wife
puraṃdhi, liberality
puraṃdhi, munificence
puraṃdhivat,abundant
puraṃdhivat, copious
pauṃsya, manly
pratna,ancient
pratnavat, ancient
prayas,pleasure
prayas, enjoyment
prayas, dainties
maṃhayu, liberal
magha, reward
magha, bounty
magha, wealth
magha, power
matsara, cheerful
matsara, selfish
matsara, hostile
matsara, wicked
matsara, invigorating
matsara, jovial
matsarin,exhilarating
matsarin, intoxicating
matsarin, jealous
matsarin, envious
matsarin, wicked
matsarin, bad
matsaravat,exhilarating
matsaravat, intoxicating
mandra,pleasant
mandra, charming
mandra, rumbling
mandrayu,pleasant
manman,thought
manman, understanding
manman, intellect
manman, wisdom
manman, prayer
manman, petition
manman, thought
durmanman,evil minded
vimahas,merry
yajata, holy
yahu,strong
yahu, exuberant
raṇva,delightful
raṇva, agreeable
raṇva, lovely
raṇva, joyous
raṇva, gay
rādhas, kindness
rādhas, bounty
rādhas, munificence
rādhas, liberality
surādhas, liberal
surādhas, bountiful
surādhas, wealthy
vanus,zealous
vanus, eager
vanus, enemy
varivas,room
varivas, width
varivas, space
varivas, ease
varivas, comfort
varivas, wealth
varivas, treasure
vartis,circuit
vartis, orbit
vartis, lodging
vartis, abode
varpas, phantom
varpas, figure
varpas, image
varpas, aspect
varpas, artifice
varpas, device
varpas, design
vāja,strength
vāja, energy
vāja, spirit
vāja, race
vāja, conflict
vāja, battle
vāja, war
vāja, booty
vāja, gain
vāja, reward
vāja, wealth
vāja, treasure
vāja, food
vāja, war horse
vāja, steed
vāja, sound
vājayu, swift
vājayu, active
vājayu, energetic
vājayu, vigorous
vājakṛtya, battle
vājakṛtya, fight
vājavat, vigorous
vājavat, strong
vājasṛt,racing
vājasṛt, race horse
vājasāti, battle
vājasāti, victory
vāhas,carrying
vāhas, conveying
vāhas, bringing
vāhas, offering
vīti,enjoyment
vīti, feast
vīti, advantage
vīti, profit
vīravat, manly
vīravat, heroic
suvṛkti, praiseworthy
suvṛkti, glorious
svavṛkti,self appropriation
vṛdha,promoting
vṛdha, increasing
vṛdha, stark
śevṛdha,dear
śevṛdha, precious
śaṃsa,recitation
śaṃsa, invocation
śaṃsa, praise
śaṃsa, utterance
śavas,strength
śavas, power
śavas, might
śavas, superiority
śavas, prowess
śavas, water
śavasāvat,mighty
śavasāvat, powerful
śocis,flame
śocis, glow
śocis, radiance
śocis, light
śocis, beauty
śravas,sound
śravas, shout
śravas, glory
śravas, fame
śravas, renown
śravasyu, ambitious
suśravas, famous
suśravas, gracious
suśravas, kind
sāti,gaining
sāti, obtaining
sāti, acquisition
sāti, oblation
sānu, ridge
sānu, surface
sānu, mountain ridge
sānu, table land
sānu, road
sānu, sage
sānuka,elevated
sānuka, arrogant
sukratūyā,intelligence
sukratūyā, wisdom
sukratūyā, skill
sumna,benevolence
sumna, grace
sumna, devotion
sumna, prayer
sumna, hymn
sumna, satisfaction
sumna, peace
sumna, joy
sumna, happiness
sumna, entreaty
suvita, welfare
suvita, prosperity
suvita, fortune
suvīrya, heroism
sūra, teacher
sūri, chief
stotṛ,praising
svarvat,bright
svarvat, shining
svarvat, celestial
haryata, delightful
kṣā, ground
tman, one
nid,mocking
nid, ridiculing
nid, contempt
nid, mocker
nid, scoffer
nid, blamer
nid, enemy
pṛkṣ,refreshment
pṛkṣ, satiation
pṛkṣ, nourishment
pṛkṣ, food
pṛkṣ, Kraft
pṛt,battle
pṛt, contest
pṛt, strife
mah,great
sridh,erring
sridh, failing
sridh, foe
sridh, enemy
kṛp, beauty
kṣap,night
kṣap, darkness
kṣap, water
kṣu, cattle
khā,digging
parijman, surrounding
tuc,Kinder
nadh,Band
nabh, joy
nābh, fissure
nābh, spring
piś,Schmuck
pur, wall
pur, fortress
pur, castle
pur, town
pṛc,food
pṛc, nourishment
pṛc, refreshment
bhid,breaking
bhid, splitting
bhid, piercing
bhid, destroying
bhid, separation
bhid, distinction
bhid, kind
bhid, species
bhuj,enjoyment
bhuj, profit
bhuj, advantage
bhrāj,light
mit, pillar
mih,mist
mih, fog
van,Baum
vip,Lied
vip, Stab
vrā, host
vrā, multitude
śās,command
śās, ruler
sū, Mutter
star,Stern
stubh, praise
sthā,standing
srū, flow
srū, effluence
srū, fountain
srū, cascade
hrut, stumbling block
hrut, trap
hrut, Rank
dharṇasi, strong
dhāsi,dwelling place
dhāsi, seat
dhāsi, home
dhāsi,milk beverage
dhāsi, nourishment
dhāsi, refreshment
sānasi, victorious
ākāyya,desirable
nṛpāyya,men protecting
panayāyya,astonishing
panayāyya, surprising
panāyya,admirable
panāyya, surprising
mahayāyya,enjoyment
rasāyya,juicy
rasāyya, tasteful
śravāyya, praiseworthy
śravāyya, notorious
spṛhayāyya, desirable
spṛhayāyya, desiring
spṛhayāyya, desirous
dharīman, ordinance
bharīman,supporting
bharīman, nourishing
bharīman, nourishment
bharīman, family
varīman, expanse
varīman, width
varīman, breadth
varīman, room
savīman, instigation
savīman, direction
savīman, guidance
savīman, impulsion
havīman,call
havīman, invocation
patitvana,matrimony
patitvana, marriage
mahitvana,greatness
vasutvana,wealth
vasutvana, riches
sakhitvana,friendship
sakhitvana, companionship
ahaṃyu,proud
ahaṃyu, haughty
pūru, people
marta, man
maha,great
maha, mighty
maha, strong
maha, abundant
yāman,going
yāman, coming
yāman, motion
yāman, course
yāman, flight
yāman, march
yāman, expedition
yāman, invocation
yāman, prayer
yāman, sacrifice
prayāman, start
śardha, flatulence
tya,that
adha,now
adha, then
adha, therefore
adha, moreover
adha, and
adha, partly
ānuṣak, uninterruptedly
sānuṣak, continually
sānuṣak, perpetually
dvitā, indeed
dvitā, certainly
makṣū,quickly
makṣū, rapidly
makṣū, soon
makṣū, directly
makṣūyu,quick
makṣūyu, rapid
sacā,near
sacā, along
sacā, together
sacā, in
sacā, at
sacā, before
satrā,together
satrā, altogether
satrā, throughout
satrā, always
kaṭuka,sharp
kaṭuka, pungent
kaṭuka, bitter
kaṭuka, fierce
kaṭuka, impetuous
kaṭuka, hot
kaṭuka, bad
kāṭa,deepness
kāṭa, hole
kāṭa, well
kuṭa, stronghold
kuṭa, ax
kūṭa, summit
kūṭa, head
kūṭa, first
kūṭa, heap
kūṭa, multitude
kūṭa, sword stick
kūṭa, illusion
kūṭa, fraud
kūṭa, trick
kūṭa, untruth
kūṭa, falsehood
kūṭa, enigma
kṛpīṭa,wood
kṛpīṭa, forest
kṛpīṭa, fuel
kṛpīṭa, water
kṛpīṭa, belly
kevaṭa, hollow
bīriṭa, multitude
vaṭūrin,broad
vikaṭa, horrible
vikaṭa, monstrous
vikaṭa, huge
vikaṭa, large
vikaṭa, large toothed
